model,sub,pred,avg_time_seconds,count
TLMMoeED,sub3,48,1013258.0,1
TLMMoeED,sub2,192,1202175.0,1
TLMMoeED,sub2,48,1012892.0,1
TLMMoeED,sub1,48,945243.0,1
TLMMoeED,sub3,720,1208718.0,1
TLMMoeED,sub3,264,5881.0,1
TLMMoeED,sub3,336,1207961.0,1
TLMMoeED,sub1,528,5809.0,1
TLMMoeED,sub2,336,1197489.0,1
TLMMoeED,sub3,96,1205684.0,1
TLMMoeED,sub2,528,6689.0,1
TLMMoeED,sub2,264,6428.0,1
TLMMoeED,sub2,144,5342.0,1
TLMMoeED,sub2,96,1186685.0,1
TLMMoeED,sub3,144,5839.0,1
TLMMoeED,sub3,192,1206417.0,1
TLMMoeED,sub2,720,1197517.0,1
TLMMoeED,sub3,528,3624.0,1
TLMMoeED,sub1,720,1116251.0,1
TLMMoeED,sub1,96,1117759.0,1
TLMMoeED,sub1,264,5137.0,1
TLMMoeED,sub1,192,1121450.0,1
TLMMoeED,sub1,144,5070.0,1
TLMMoeED,sub1,336,1112560.0,1
