model,sub,pred,time_seconds
TLMMoeED,sub3,48,1013258
TLMMoeED,sub2,192,1202175
TLMMoeED,sub2,48,1012892
TLMMoeED,sub1,48,945243
TLMMoeED,sub3,720,1208718
TLMMoeED,sub3,264,5881
TLMMoeED,sub3,336,1207961
TLMMoeED,sub1,528,5809
TLMMoeED,sub2,336,1197489
TLMMoeED,sub3,96,1205684
TLMMoeED,sub2,528,6689
TLMMoeED,sub2,264,6428
TLMMoeED,sub2,144,5342
TLMMoeED,sub2,96,1186685
TLMMoeED,sub3,144,5839
TLMMoeED,sub3,192,1206417
TLMMoeED,sub2,720,1197517
TLMMoeED,sub3,528,3624
TLMMoeED,sub1,720,1116251
TLMMoeED,sub1,96,1117759
TLMMoeED,sub1,264,5137
TLMMoeED,sub1,192,1121450
TLMMoeED,sub1,144,5070
TLMMoeED,sub1,336,1112560
